Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Montreal Canadiens*,82,47,26,9,103,0.628,226,200,0.31,-0.01,0.567,44,33-26-23,0.543
Ottawa Senators*,82,44,28,10,98,0.598,212,214,-0.01,0.01,0.524,38,34-28-20,0.537
Boston Bruins*,82,44,31,7,95,0.579,234,212,0.27,0,0.543,42,38-31-13,0.543
Toronto Maple Leafs*,82,40,27,15,95,0.579,251,242,0.11,0,0.53,39,33-27-22,0.537
Tampa Bay Lightning,82,42,30,10,94,0.573,234,227,0.09,0.01,0.506,38,32-30-20,0.512
Florida Panthers,82,35,36,11,81,0.494,210,237,-0.3,0.03,0.433,30,23-36-23,0.421
Detroit Red Wings,82,33,36,13,79,0.482,207,244,-0.41,0.04,0.348,24,17-36-29,0.384
Buffalo Sabres,82,33,37,12,78,0.476,201,237,-0.41,0.03,0.427,31,25-37-20,0.427
Washington Capitals*,82,55,19,8,118,0.72,263,182,0.99,0,0.689,53,45-19-18,0.659
Pittsburgh Penguins*,82,50,21,11,111,0.677,282,234,0.59,0.01,0.616,46,40-21-21,0.616
Columbus Blue Jackets*,82,50,24,8,108,0.659,249,195,0.68,0.02,0.61,48,39-24-19,0.591
New York Rangers*,82,48,28,6,102,0.622,256,220,0.47,0.03,0.591,45,40-28-14,0.573
New York Islanders,82,41,29,12,94,0.573,241,242,0.03,0.05,0.512,39,33-29-20,0.524
Philadelphia Flyers,82,39,33,10,88,0.537,219,236,-0.17,0.04,0.463,32,25-33-24,0.451
Carolina Hurricanes,82,36,31,15,87,0.53,215,236,-0.21,0.05,0.457,33,28-31-23,0.482
New Jersey Devils,82,28,40,14,70,0.427,183,244,-0.67,0.08,0.341,25,18-40-24,0.366
Chicago Blackhawks*,82,50,23,9,109,0.665,244,213,0.32,-0.06,0.591,46,37-23-22,0.585
Minnesota Wild*,82,49,25,8,106,0.646,266,208,0.63,-0.08,0.591,46,42-25-15,0.604
St. Louis Blues*,82,46,29,7,99,0.604,235,218,0.17,-0.04,0.561,44,38-29-15,0.555
Nashville Predators*,82,41,29,12,94,0.573,240,224,0.16,-0.04,0.512,39,35-29-18,0.537
Winnipeg Jets,82,40,35,7,87,0.53,249,256,-0.11,-0.03,0.476,37,33-35-14,0.488
Dallas Stars,82,34,37,11,79,0.482,223,262,-0.48,-0.01,0.421,33,28-37-17,0.445
Colorado Avalanche,82,22,56,4,48,0.293,166,278,-1.32,0.05,0.274,21,14-56-12,0.244
Anaheim Ducks*,82,46,23,13,105,0.64,223,200,0.24,-0.04,0.561,43,40-23-19,0.604
Edmonton Oilers*,82,47,26,9,103,0.628,247,212,0.37,-0.06,0.579,43,37-26-19,0.567
San Jose Sharks*,82,46,29,7,99,0.604,221,201,0.21,-0.03,0.555,44,38-29-15,0.555
Calgary Flames*,82,45,33,4,94,0.573,226,221,0.02,-0.04,0.537,41,32-33-17,0.494
Los Angeles Kings,82,39,35,8,86,0.524,201,205,-0.07,-0.02,0.488,37,25-35-22,0.439
Arizona Coyotes,82,30,42,10,70,0.427,197,260,-0.76,0.01,0.341,24,20-42-20,0.366
Vancouver Canucks,82,30,43,9,69,0.421,182,243,-0.73,0.01,0.354,26,19-43-20,0.354
